Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1month	 	GT Paid Subscription_200_30	 	IAY	11	3.18	05/01/2014	05/01/2014	AUD	AU	AUD	471832348	4.99	 	ACPGT001	Renewal	1 Month	Food & Drink
APPLE	US	au.com.bauermedia.topgear.2014.may.issue	 	TopGear 2014.05- May issue	 	IA1	4	4.13	05/01/2014	05/01/2014	AUD	AU	AUD	796807657	6.49	 	SKU_Bauer_TopGear	 	 	Lifestyle
APPLE	US	MAG0204.1	PBL MEDIA PTY LTD.	Empire Australasia	1.3.8	1F	1	0	05/01/2014	05/01/2014	DKK	DK	DKK	823231884	0	 	 	 	 	Entertainment
APPLE	US	MAG0204.1	PBL MEDIA PTY LTD.	Empire Australasia	1.3.8	1F	3	0	05/01/2014	05/01/2014	GBP	GB	GBP	823231884	0	 	 	 	 	Entertainment
APPLE	US	com.magshop.ns.zoo.1417.1	 	ZOO Weekly 1417	 	IA1	1	2.09	05/01/2014	05/01/2014	NZD	NZ	NZD	738259661	2.99	 	MAG0553	 	 	Entertainment
APPLE	US	au.com.bauermedia.ellemag.subs.6mth	 	ELLE Subscriptions_500_180	 	IAY	2	0	05/01/2014	05/01/2014	AUD	AU	AUD	697996987	0	 	SKU_Bauer_ElleMag	New	6 Months	Lifestyle
APPLE	US	au.com.acpmagazines.aww.subscriptions.3months	 	AWW Paid Subscription_400_90	 	IAY	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	471821185	0	 	ACP003	New	3 Months	Entertainment
APPLE	US	au.com.acpmagazines.aww.subscriptions.3months	 	AWW Paid Subscription_400_90	 	IAY	11	6.99	05/01/2014	05/01/2014	AUD	AU	AUD	471821185	10.99	 	ACP003	Renewal	3 Months	Entertainment
APPLE	US	MAG0067	PBL MEDIA PTY LTD.	Australian Motorcycle News	1.3.5	1F	1	0	05/01/2014	05/01/2014	EUR	DE	EUR	598117425	0	 	 	 	 	Sports
APPLE	US	SKU_Bauer_TopGear	PBL MEDIA PTY LTD.	TopGear Australia Magazine	1.0.9	7T	4	0	05/01/2014	05/01/2014	NZD	NZ	NZD	725842093	0	 	 	 	 	Lifestyle
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	1F	12	0	05/01/2014	05/01/2014	USD	TH	USD	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0352	PBL MEDIA PTY LTD.	Money Magazine Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	PH	USD	574683215	0	 	 	 	 	Finance
APPLE	US	au.com.acpmagazines.aww.subscriptions.1month	 	AWW Paid Subscription_200_30	 	IAY	-1	2.79	05/01/2014	05/01/2014	NZD	NZ	NZD	471819015	-3.99	 	ACP003	Renewal	1 Month	Entertainment
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	1F	25	0	05/01/2014	05/01/2014	EUR	DE	EUR	574650057	0	 	 	 	 	Entertainment
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	MO	USD	574650057	0	 	 	 	 	Entertainment
APPLE	US	com.magshop.ns.zoo.1414.1	 	ZOO Weekly 1414	 	IA1	1	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	738259645	2.99	 	MAG0553	 	 	Entertainment
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1year	 	GT Paid Subscription_600_365	 	IAY	4	0	05/01/2014	05/01/2014	AUD	AU	AUD	471832473	0	 	ACPGT001	New	1 Year	Food & Drink
APPLE	US	MAG0001	PBL MEDIA PTY LTD.	Magshop	2.4.1	1F	1	0	05/01/2014	05/01/2014	ZAR	ZA	ZAR	378036778	0	 	 	 	 	Lifestyle
APPLE	US	SKU_Bauer_Wheels	PBL MEDIA PTY LTD.	WHEELS AUSTRALIA MAGAZINE	1.0.10	7T	3	0	05/01/2014	05/01/2014	USD	NG	USD	617924139	0	 	 	 	 	Lifestyle
APPLE	US	MAG0184	PBL MEDIA PTY LTD.	Dolly Magazine Australia	1.3.5	1F	65	0	05/01/2014	05/01/2014	AUD	AU	AUD	639967384	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.aww.subscriptions.2months	 	AWW Paid Subscription_300_60	 	IAY	25	4.77	05/01/2014	05/01/2014	AUD	AU	AUD	471821181	7.49	 	ACP003	Renewal	2 Months	Entertainment
APPLE	US	com.magshop.ns.wdw.1418.1	 	Woman's Day 1418	 	IA1	65	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	797269582	2.99	 	MAG0536	 	 	Entertainment
APPLE	US	MAG0559	PBL MEDIA PTY LTD.	HOME Magazine NZ	1.3.8	1F	3	0	05/01/2014	05/01/2014	EUR	FR	EUR	817999055	0	 	 	 	 	Lifestyle
APPLE	US	MAG0559	PBL MEDIA PTY LTD.	HOME Magazine NZ	1.3.8	1F	73	0	05/01/2014	05/01/2014	CNY	CN	CNY	817999055	0	 	 	 	 	Lifestyle
APPLE	US	ACP003	PBL MEDIA PTY LTD.	The Australian Women's Weekly	1.10.0	1T	1	0	05/01/2014	05/01/2014	USD	CL	USD	384025506	0	 	 	 	 	Entertainment
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	14	0	05/01/2014	05/01/2014	USD	PH	USD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	7T	1	0	05/01/2014	05/01/2014	USD	PH	USD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	3	0	05/01/2014	05/01/2014	HKD	HK	HKD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.ns.zoo.1409.1	 	ZOO Weekly 1409	 	IA1	1	2.09	05/01/2014	05/01/2014	NZD	NZ	NZD	738259625	2.99	 	MAG0553	 	 	Entertainment
APPLE	US	com.magshop.ns.wdw.months.2.1	 	Woman's Day Subscription_300_60	 	IAY	3	11.45	05/01/2014	05/01/2014	AUD	AU	AUD	547528606	17.99	 	MAG0536	Renewal	2 Months	Entertainment
